Turbo Boost disabled for all CPUs
2
../quartz/scripts/../build/src/lib/libnvmemul.so
../quartz/scripts/../nvmemul.ini

===== B-Tree App Output =====

NOT FOUND 879854226107424288, t = (nil)
NOT FOUND 3511602292940634571, t = (nil)
NOT FOUND 409705604693513833, t = (nil)
NOT FOUND 4261460114195095615, t = (nil)
NOT FOUND 314569289947901525, t = (nil)
NOT FOUND 4604121193436530613, t = (nil)
NOT FOUND 7079457926110164311, t = (nil)
NOT FOUND 7461797237516750107, t = (nil)
NOT FOUND 5113537332414690048, t = (nil)
NOT FOUND 2629676111781814907, t = (nil)
NOT FOUND 7923008049475660954, t = (nil)
NOT FOUND 6325107337435199948, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 7735673461031403, t = (nil)
NOT FOUND 7402325909635712608, t = (nil)
NOT FOUND 3456088800868646845, t = (nil)
NOT FOUND 7203853526781635208, t = (nil)
NOT FOUND 4804051341689232992, t = (nil)
NOT FOUND 9063659955449751151, t = (nil)
NOT FOUND 1948270897797070001, t = (nil)
NOT FOUND 5116913543026093099, t = (nil)
NOT FOUND 7320057726626774071, t = (nil)
NOT FOUND 3464748390015815078, t = (nil)
NOT FOUND 936187458472300210, t = (nil)
NOT FOUND 98743384536653546, t = (nil)
NOT FOUND 5392385367671020450, t = (nil)
NOT FOUND 2810269527769976102, t = (nil)
NOT FOUND 4226948765103976261, t = (nil)
NOT FOUND 1546722214568022899, t = (nil)
NOT FOUND 1615502149248975632, t = (nil)
NOT FOUND 2522219623603010435, t = (nil)
NOT FOUND 3959971482508335520, t = (nil)
NOT FOUND 7536370308502008618, t = (nil)
NOT FOUND 8068349498010533424, t = (nil)
NOT FOUND 7865336069503802632, t = (nil)
NOT FOUND 6077090145344104666, t = (nil)
NOT FOUND 4689423649950627953, t = (nil)
NOT FOUND 760294930640611938, t = (nil)
NOT FOUND 4671737713191080182, t = (nil)
NOT FOUND 4275080864020029395, t = (nil)
NOT FOUND 2872278986684508117, t = (nil)
NOT FOUND 2679995729269380121, t = (nil)
NOT FOUND 2775918301273142596, t = (nil)
NOT FOUND 7401827011752426964, t = (nil)
NOT FOUND 9102665386272366519, t = (nil)
NOT FOUND 4050096416637301918, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 2682780925421029318, t = (nil)
NOT FOUND 1598015687398295634, t = (nil)
NOT FOUND 1995846836781641395, t = (nil)
NOT FOUND 6659847244227989092, t = (nil)
NOT FOUND 5523122014744768654, t = (nil)
NOT FOUND 5583593161034736783, t = (nil)
NOT FOUND 793435990717276101, t = (nil)
NOT FOUND 2268679580799953249, t = (nil)
NOT FOUND 6421620923981544003, t = (nil)
NOT FOUND 3690946783966827966, t = (nil)
NOT FOUND 1895538490577548470, t = (nil)
NOT FOUND 5782292109064205435, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 4991016008635227467, t = (nil)
NOT FOUND 5667212117653210793, t = (nil)
NOT FOUND 419573605202367078, t = (nil)
NOT FOUND 4025966638949484901, t = (nil)
NOT FOUND 3007998007212841984, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 8587192357424170614, t = (nil)
NOT FOUND 1486041488422405571, t = (nil)
NOT FOUND 221327394090458181, t = (nil)
NOT FOUND 7190844394456153246, t = (nil)
NOT FOUND 4336078908349518572, t = (nil)
NOT FOUND 4455960345760164423, t = (nil)
NOT FOUND 1371038004100404049, t = (nil)
NOT FOUND 1074179656665276963, t = (nil)
NOT FOUND 207852316392793681, t = (nil)
NOT FOUND 4057484476080008157, t = (nil)
NOT FOUND 8617309114167698455, t = (nil)
NOT FOUND 8738968363469362429, t = (nil)
NOT FOUND 2228131034902089243, t = (nil)
NOT FOUND 2034325421472003417, t = (nil)
NOT FOUND 4557618063547891149, t = (nil)
NOT FOUND 569636380106265502, t = (nil)
NOT FOUND 4226948765103976261, t = (nil)
NOT FOUND 7720641018507250837, t = (nil)
NOT FOUND 5079178992858602398, t = (nil)
NOT FOUND 5377361736049968093, t = (nil)
NOT FOUND 4574913441637414607, t = (nil)
NOT FOUND 5674016363546319438, t = (nil)
NOT FOUND 4019239126603167822, t = (nil)
NOT FOUND 827360215423179730, t = (nil)
NOT FOUND 4226948765103976261, t = (nil)
NOT FOUND 4138321893708271847, t = (nil)
NOT FOUND 2954979560951481674, t = (nil)
NOT FOUND 4888026874211758247, t = (nil)
NOT FOUND 8440228474618235492, t = (nil)
NOT FOUND 8267169313479504457, t = (nil)
NOT FOUND 5876050686486200467, t = (nil)
NOT FOUND 7931552209778360651, t = (nil)
NOT FOUND 866695120252656094, t = (nil)
NOT FOUND 5809885133839694553, t = (nil)
NOT FOUND 6546276151832663562, t = (nil)
NOT FOUND 7058560715660525489, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 1256885094130965774, t = (nil)
NOT FOUND 8594648491145602677, t = (nil)
NOT FOUND 2673176000494403475, t = (nil)
