Turbo Boost disabled for all CPUs
2
../quartz/scripts/../build/src/lib/libnvmemul.so
../quartz/scripts/../nvmemul.ini

===== B-Tree App Output =====

NOT FOUND 1913842611312339781, t = (nil)
NOT FOUND 1215141286810658126, t = (nil)
NOT FOUND 2301006274374491995, t = (nil)
NOT FOUND 2865158736507190236, t = (nil)
NOT FOUND 8235215757944212543, t = (nil)
NOT FOUND 4664563080066958691, t = (nil)
NOT FOUND 6002162862579828621, t = (nil)
NOT FOUND 2998055089733089277, t = (nil)
NOT FOUND 1355495425973049262, t = (nil)
NOT FOUND 5347473432729534245, t = (nil)
NOT FOUND 597616743977965369, t = (nil)
NOT FOUND 652206805453485750, t = (nil)
NOT FOUND 5854807458593811927, t = (nil)
NOT FOUND 6333775787582419523, t = (nil)
NOT FOUND 8097233879161755590, t = (nil)
NOT FOUND 3733968587236892878, t = (nil)
NOT FOUND 5607327121190468537, t = (nil)
NOT FOUND 1682340198664656206, t = (nil)
NOT FOUND 1870488365825172409, t = (nil)
NOT FOUND 7115129273631051779, t = (nil)
NOT FOUND 6931464816975461546, t = (nil)
NOT FOUND 5597577657539977899, t = (nil)
NOT FOUND 6553077341704931376, t = (nil)
NOT FOUND 3245604858746261301, t = (nil)
NOT FOUND 3023942723844241927, t = (nil)
NOT FOUND 4618069237427092968, t = (nil)
NOT FOUND 4336682128513975518, t = (nil)
NOT FOUND 5592355762446242395, t = (nil)
NOT FOUND 3602207859191590346, t = (nil)
NOT FOUND 2392317743163576014, t = (nil)
NOT FOUND 7748556457104202377, t = (nil)
NOT FOUND 8044658483157206174, t = (nil)
NOT FOUND 7739227669806931758, t = (nil)
NOT FOUND 2041306478162762100, t = (nil)
NOT FOUND 4666819124233985426, t = (nil)
NOT FOUND 918814108190324608, t = (nil)
NOT FOUND 2337120538928282576, t = (nil)
NOT FOUND 4318509616873464625, t = (nil)
NOT FOUND 651904984728807508, t = (nil)
NOT FOUND 8503250869939720126, t = (nil)
NOT FOUND 5448685307778312484, t = (nil)
NOT FOUND 376316873000499350, t = (nil)
NOT FOUND 4284560112612716418, t = (nil)
NOT FOUND 5237927148583158497, t = (nil)
NOT FOUND 6200307256168050014, t = (nil)
NOT FOUND 9193939824028410460, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 3189717274208335802, t = (nil)
NOT FOUND 2458410013481412593, t = (nil)
NOT FOUND 1575903562686963308, t = (nil)
NOT FOUND 7772588254634265039, t = (nil)
NOT FOUND 5592355762446242395, t = (nil)
NOT FOUND 8880473315934300011, t = (nil)
NOT FOUND 6182933876692462472, t = (nil)
NOT FOUND 2968352763913758788, t = (nil)
NOT FOUND 3921700300409133749, t = (nil)
NOT FOUND 8945484399589115397, t = (nil)
NOT FOUND 2870713884025070715, t = (nil)
NOT FOUND 5079030034001060046, t = (nil)
NOT FOUND 7275652518751201625, t = (nil)
NOT FOUND 2055624567563660586, t = (nil)
NOT FOUND 4998108298180620636, t = (nil)
NOT FOUND 6174034368513787294, t = (nil)
NOT FOUND 9193939824028410460, t = (nil)
NOT FOUND 5265968632003649194, t = (nil)
NOT FOUND 4227987211525058137, t = (nil)
NOT FOUND 879985509987773849, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 8198335949813943560, t = (nil)
NOT FOUND 4714903439802110654, t = (nil)
NOT FOUND 7714574280895652303, t = (nil)
NOT FOUND 719241967246376527, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 2740193951564601267, t = (nil)
NOT FOUND 6044692232105590922, t = (nil)
NOT FOUND 4618069237427092968, t = (nil)
NOT FOUND 3163134623901843361, t = (nil)
NOT FOUND 4221260583871824156, t = (nil)
NOT FOUND 7558826076874879965, t = (nil)
NOT FOUND 6439414931067957126, t = (nil)
NOT FOUND 978616180327120833, t = (nil)
NOT FOUND 4677871860608830223, t = (nil)
NOT FOUND 2001864591578124185, t = (nil)
NOT FOUND 3406768337785799934, t = (nil)
NOT FOUND 8945446248641166663, t = (nil)
NOT FOUND 953210094000058793, t = (nil)
NOT FOUND 1896865079910705079, t = (nil)
NOT FOUND 7042201393887372738, t = (nil)
NOT FOUND 7863014375813670987, t = (nil)
NOT FOUND 3721791232979042973, t = (nil)
NOT FOUND 2584573761332969155, t = (nil)
NOT FOUND 8756089323581250760, t = (nil)
