Turbo Boost disabled for all CPUs
2
../quartz/scripts/../build/src/lib/libnvmemul.so
../quartz/scripts/../nvmemul.ini

===== B-Tree App Output =====

NOT FOUND 6725802560547214944, t = (nil)
NOT FOUND 455401021606293123, t = (nil)
NOT FOUND 5846642799608190875, t = (nil)
NOT FOUND 5764321548311832325, t = (nil)
NOT FOUND 3060869758677608354, t = (nil)
NOT FOUND 9153130512114903594, t = (nil)
NOT FOUND 5409459513771366273, t = (nil)
NOT FOUND 2494312267145230389, t = (nil)
NOT FOUND 2055738048131538741, t = (nil)
NOT FOUND 6912155102172229321, t = (nil)
NOT FOUND 7959220540113916920, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 511617728765947196, t = (nil)
NOT FOUND 503644689931883760, t = (nil)
NOT FOUND 413569288143127306, t = (nil)
NOT FOUND 1764432227714331544, t = (nil)
NOT FOUND 3715469313477394550, t = (nil)
NOT FOUND 1850807133129516916, t = (nil)
NOT FOUND 2562669241194930242, t = (nil)
NOT FOUND 3239923843655246357, t = (nil)
NOT FOUND 6846278051581157198, t = (nil)
NOT FOUND 1040194392966592916, t = (nil)
NOT FOUND 5033899567655551227, t = (nil)
NOT FOUND 8365066998512394057, t = (nil)
NOT FOUND 6845125291470952492, t = (nil)
NOT FOUND 1960792068169955732, t = (nil)
NOT FOUND 6768085216799927244, t = (nil)
NOT FOUND 4982429259216030070, t = (nil)
NOT FOUND 228133392771376896, t = (nil)
NOT FOUND 4554761886918435383, t = (nil)
NOT FOUND 1844416200984733218, t = (nil)
NOT FOUND 4053840592757854820, t = (nil)
NOT FOUND 6271762377758853104, t = (nil)
NOT FOUND 7486669066694286767, t = (nil)
NOT FOUND 6374407967609891002, t = (nil)
NOT FOUND 7933848867567635358, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 3175978576918767139, t = (nil)
NOT FOUND 6742296348235652594, t = (nil)
NOT FOUND 7357996391385452683, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 238200973008474806, t = (nil)
NOT FOUND 7348981405658168151, t = (nil)
NOT FOUND 5280726661792593256, t = (nil)
NOT FOUND 4832842927267252438, t = (nil)
NOT FOUND 149365045707533351, t = (nil)
NOT FOUND 8660448670464194096, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 2141693377483729449, t = (nil)
NOT FOUND 3714739406142350101, t = (nil)
NOT FOUND 6410925018156914487, t = (nil)
NOT FOUND 942648056321856278, t = (nil)
NOT FOUND 5655502871337189671, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 9153130512114903594, t = (nil)
NOT FOUND 6697217953626476855, t = (nil)
NOT FOUND 833898790728003828, t = (nil)
NOT FOUND 9051259224839519851, t = (nil)
NOT FOUND 96112579520825829, t = (nil)
NOT FOUND 3006964792606844221, t = (nil)
NOT FOUND 8726922066169064323, t = (nil)
NOT FOUND 1177322859281311067, t = (nil)
NOT FOUND 985973955537952759, t = (nil)
NOT FOUND 9161378948988647724, t = (nil)
NOT FOUND 2862008886606477072, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 3570311959261756435, t = (nil)
NOT FOUND 5377512745318313988, t = (nil)
NOT FOUND 3796208480330675817, t = (nil)
NOT FOUND 5653257716414280418, t = (nil)
NOT FOUND 2979212271065226527, t = (nil)
NOT FOUND 4921637423450533763, t = (nil)
NOT FOUND 341971721258464396, t = (nil)
NOT FOUND 2271444209425228951, t = (nil)
NOT FOUND 4623379401115422986, t = (nil)
NOT FOUND 3592373017048413503, t = (nil)
NOT FOUND 4353737781300076365, t = (nil)
NOT FOUND 258228529014623903, t = (nil)
NOT FOUND 9109482129894017881, t = (nil)
NOT FOUND 3316671324020142186, t = (nil)
NOT FOUND 8233208644345651059, t = (nil)
NOT FOUND 6471837566402285044, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 470461141682700843, t = (nil)
NOT FOUND 702784845640843464, t = (nil)
NOT FOUND 4638962577736510423, t = (nil)
NOT FOUND 8174556289871611510, t = (nil)
NOT FOUND 149365045707533351, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 3008938206946233325, t = (nil)
NOT FOUND 6684351999030252874, t = (nil)
NOT FOUND 566331545255735958, t = (nil)
NOT FOUND 3008938206946233325, t = (nil)
NOT FOUND 6011371742253212090, t = (nil)
NOT FOUND 8761781576936666077, t = (nil)
NOT FOUND 1417021022525146484, t = (nil)
NOT FOUND 7090361511586933833, t = (nil)
NOT FOUND 4764607350686532081, t = (nil)
NOT FOUND 4767698535069606312, t = (nil)
NOT FOUND 2910983851824271282, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 7913791659734151372, t = (nil)
NOT FOUND 2573921111035110629, t = (nil)
NOT FOUND 8384398786940015159, t = (nil)
NOT FOUND 5075632510334403647, t = (nil)
NOT FOUND 3166543056107889504, t = (nil)
NOT FOUND 6912155102172229321, t = (nil)
NOT FOUND 4385861956381937613, t = (nil)
NOT FOUND 8758100039865629678, t = (nil)
NOT FOUND 622176118085220014, t = (nil)
NOT FOUND 541860350966797275, t = (nil)
NOT FOUND 3603509879574901097, t = (nil)
NOT FOUND 1317029906824705802, t = (nil)
NOT FOUND 6453062696201649138, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 2347010763265861236, t = (nil)
NOT FOUND 7280767276832467967, t = (nil)
NOT FOUND 4521230118644708489, t = (nil)
NOT FOUND 4036390405367153801, t = (nil)
NOT FOUND 3675888808127515602, t = (nil)
NOT FOUND 2307767656280927532, t = (nil)
NOT FOUND 8708326695059493924, t = (nil)
NOT FOUND 7159360156015010144, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 364588613589032025, t = (nil)
NOT FOUND 3433777107086221833, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 6742296348235652594, t = (nil)
NOT FOUND 7231153921938015261, t = (nil)
NOT FOUND 8393623027603739701, t = (nil)
NOT FOUND 6912155102172229321, t = (nil)
NOT FOUND 5851178515148691318, t = (nil)
NOT FOUND 648449762819159443, t = (nil)
NOT FOUND 6616830778729655563, t = (nil)
NOT FOUND 2851508505412335693, t = (nil)
NOT FOUND 8646757532880298384, t = (nil)
NOT FOUND 6912155102172229321, t = (nil)
NOT FOUND 7575219792750964480, t = (nil)
NOT FOUND 7839268338918260841, t = (nil)
NOT FOUND 7809509045345653004, t = (nil)
NOT FOUND 669578449884370775, t = (nil)
NOT FOUND 5267794860196275234, t = (nil)
NOT FOUND 9110740146613021299, t = (nil)
NOT FOUND 533202983240589800, t = (nil)
NOT FOUND 4877177011511766522, t = (nil)
NOT FOUND 2166505358574949052, t = (nil)
NOT FOUND 2395734051277075823, t = (nil)
NOT FOUND 4588229898713263133, t = (nil)
NOT FOUND 9148429168219325535, t = (nil)
NOT FOUND 5774948145301416456, t = (nil)
NOT FOUND 7612314880517117758, t = (nil)
NOT FOUND 5079645796466334533, t = (nil)
NOT FOUND 8050784580956562703, t = (nil)
NOT FOUND 6730642863803585589, t = (nil)
NOT FOUND 6730642863803585589, t = (nil)
NOT FOUND 8041648381247789745, t = (nil)
NOT FOUND 7532907035248162010, t = (nil)
NOT FOUND 2909944574007749762, t = (nil)
NOT FOUND 8712228182876816466, t = (nil)
NOT FOUND 5808949481944604616, t = (nil)
NOT FOUND 4013505614704670526, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 9104290135628388964, t = (nil)
NOT FOUND 8452280323980363033, t = (nil)
NOT FOUND 1672095959011817923, t = (nil)
NOT FOUND 7903519047812680955, t = (nil)
NOT FOUND 4963084501516996802, t = (nil)
NOT FOUND 4131957506089502778, t = (nil)
NOT FOUND 2421498205116733668, t = (nil)
NOT FOUND 25632759002562228, t = (nil)
NOT FOUND 4444225479838616400, t = (nil)
NOT FOUND 6307646655241808358, t = (nil)
NOT FOUND 2520517044086337737, t = (nil)
NOT FOUND 8848770366485632478, t = (nil)
NOT FOUND 5078812094302650849, t = (nil)
NOT FOUND 6712468838861181781, t = (nil)
NOT FOUND 6073918990600975550, t = (nil)
NOT FOUND 2503192391503480574, t = (nil)
NOT FOUND 3008938206946233325, t = (nil)
NOT FOUND 4283839363859100490, t = (nil)
NOT FOUND 1666301140666136276, t = (nil)
NOT FOUND 910608898784052094, t = (nil)
NOT FOUND 4671972620719229253, t = (nil)
NOT FOUND 1055534208061068432, t = (nil)
NOT FOUND 2407815684461049515, t = (nil)
NOT FOUND 2040165248465241412, t = (nil)
NOT FOUND 517715037609042225, t = (nil)
NOT FOUND 4778847958736077946, t = (nil)
NOT FOUND 5132112753492125482, t = (nil)
NOT FOUND 2100778595096427248, t = (nil)
NOT FOUND 474946043641008533, t = (nil)
NOT FOUND 8615374890685437362, t = (nil)
NOT FOUND 9062608004047111965, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 5004163121631444594, t = (nil)
NOT FOUND 6912155102172229321, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 4986083837468135893, t = (nil)
NOT FOUND 7308744786115583994, t = (nil)
NOT FOUND 7477985479149379910, t = (nil)
NOT FOUND 7498993898481645732, t = (nil)
NOT FOUND 7791884595396917247, t = (nil)
NOT FOUND 4624800777363056917, t = (nil)
NOT FOUND 152335413633905150, t = (nil)
NOT FOUND 2306342950321164034, t = (nil)
NOT FOUND 7314134729804666899, t = (nil)
NOT FOUND 4335905215462788738, t = (nil)
NOT FOUND 8731170900197282221, t = (nil)
NOT FOUND 459580626593301073, t = (nil)
NOT FOUND 6010109653411854143, t = (nil)
NOT FOUND 3661002702491627243, t = (nil)
NOT FOUND 493607682234235233, t = (nil)
NOT FOUND 2243595112038253311, t = (nil)
NOT FOUND 1752209862621078756, t = (nil)
NOT FOUND 7784569768182951970, t = (nil)
NOT FOUND 6704133957549757306, t = (nil)
NOT FOUND 5122693078617168660, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 4817968472922343805, t = (nil)
NOT FOUND 507086764765365864, t = (nil)
NOT FOUND 7945688153602019341, t = (nil)
NOT FOUND 1298997440843059223, t = (nil)
NOT FOUND 5146687525456889258, t = (nil)
NOT FOUND 2292300626354396316, t = (nil)
NOT FOUND 2894135377698674549, t = (nil)
NOT FOUND 5361908047083457889, t = (nil)
NOT FOUND 4382904274726792902, t = (nil)
NOT FOUND 2851188147092901507, t = (nil)
NOT FOUND 1900008437613135836, t = (nil)
NOT FOUND 1673055342186175651, t = (nil)
NOT FOUND 7490082733828639994, t = (nil)
NOT FOUND 6031120542112318452, t = (nil)
NOT FOUND 4249863208771367552, t = (nil)
NOT FOUND 8317870108179451978, t = (nil)
NOT FOUND 6269254660723594879, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 5793982908666767974, t = (nil)
NOT FOUND 8281874923058750907, t = (nil)
NOT FOUND 4003041777495948605, t = (nil)
NOT FOUND 7634463222518345475, t = (nil)
NOT FOUND 2296654890613589305, t = (nil)
NOT FOUND 6073181476883917914, t = (nil)
NOT FOUND 4249863208771367552, t = (nil)
NOT FOUND 505855855255969745, t = (nil)
NOT FOUND 1420973445819551381, t = (nil)
NOT FOUND 1698138105938425039, t = (nil)
NOT FOUND 5678016113860103769, t = (nil)
NOT FOUND 5309298725399282584, t = (nil)
NOT FOUND 2211153349886124235, t = (nil)
NOT FOUND 3403092557282505767, t = (nil)
NOT FOUND 5695058633519667305, t = (nil)
NOT FOUND 7131536967715751790, t = (nil)
NOT FOUND 2117199421506327292, t = (nil)
NOT FOUND 5197277071243283477, t = (nil)
NOT FOUND 6912155102172229321, t = (nil)
NOT FOUND 6149065902014192526, t = (nil)
NOT FOUND 4146425345173523469, t = (nil)
NOT FOUND 4393692847495533538, t = (nil)
NOT FOUND 6748695504004491318, t = (nil)
NOT FOUND 1015865683707718687, t = (nil)
NOT FOUND 9010928320004749032, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 1388779494320978900, t = (nil)
NOT FOUND 887631634985007085, t = (nil)
NOT FOUND 6565820208114627664, t = (nil)
NOT FOUND 2910983851824271282, t = (nil)
NOT FOUND 3270373137753079171, t = (nil)
NOT FOUND 3008938206946233325, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 2012391493031551039, t = (nil)
NOT FOUND 3180056868122239601, t = (nil)
NOT FOUND 1003570825889613929, t = (nil)
